POPEST2016,x,y
7001,-86.8872241113,36.8453268671
1036,-84.4630007585,38.9575703859
459,-87.2655583605,37.4158854598
340,-84.5374469376,38.3892465734
269,-87.5558404276,37.1861632022
735,-88.2442023284,37.2645050854
324,-83.6146388458,38.1200882623
1800,-83.0687856583,37.7525995133
236,-84.947175979,38.6553498052
622,-83.1262879981,38.0864812777
100,-83.9557629768,38.5317486277
697,-84.6357810819,37.1770293318
4416,-86.190547305,36.7533850799
1573,-87.5286220511,37.6069955837
345,-83.9293724456,38.2020287646
15514,-85.2235713269,38.2120217077
12082,-85.7157972551,37.9884063424
1117,-84.3902219434,39.0345137042
2751,-85.3552396671,38.2225773034
212,-87.5022292339,37.4889407623
108,-85.2569052498,38.3867417397
293,-88.4033771653,37.1389514532
770,-86.2077657305,37.0525523373
11487,-84.6041128665,37.0920293158
507,-85.8930240731,37.5242331443
181,-87.1419457197,37.3375511509
1086,-82.9582324937,38.7209175086
3845,-84.4727240702,39.0720125075
267,-84.9068975687,38.6770164121
3123,-85.2221865886,37.6853485058
746,-84.6863396733,38.2717463438
3662,-84.6618921136,37.5311973007
2670,-83.8582567984,37.8456445977
1890,-87.9839194752,37.5467206511
6756,-84.4963351722,38.9975690921
1252,-85.3424580489,38.0317376674
2273,-85.6916443572,36.702286691
378,-87.2627878109,36.7239401256
5807,-84.680505623,38.9459025737
951,-87.9305881779,37.7753285974
686,-85.8933030684,37.4650649321
1427,-83.3187993919,38.5992504696
9270,-84.7299509702,38.0525832989
318,-83.0615588202,37.215659307
5921,-85.9813573195,37.8100745958
250,-82.41737327,37.8442702595
1688,-84.901619776,38.7834037327
308,-87.8128040391,37.7097722902
401,-82.805164059,37.4451069642
3375,-83.2596257259,37.9214831384
870,-85.9435795224,37.9995236334
157,-87.8628014367,37.490052746
542,-82.7209943275,37.332609644
905,-87.3836147782,37.1836620093
1974,-82.8268304441,37.1184389971
537,-86.871385168,37.6831139294
672,-89.0892406456,36.9647822881
5313,-84.1596604138,36.7434239654
3965,-84.5605022636,38.6381319205
288,-85.1263516687,37.8097964346
6312,-84.6616150371,37.8620298659
18461,-84.1796547046,37.9900863118
636,-88.7389480239,36.642287442
382,-86.5274990089,36.842547582
92,-86.6338823628,37.1833862439
1571,-82.7243348106,38.5484209857
183,-85.0674563109,38.6097938912
1036,-82.7779477269,38.5503651831
182,-82.7298820119,37.6112078285
3927,-84.613281154,38.8700709046
643,-82.8744219058,37.334886921
1734,-85.5238336347,38.3220492744
318449,-84.5002224034,38.0492507896
65234,-86.4436553282,36.9910652415
8722,-85.3789660114,38.4076602573
8851,-85.6772441822,38.081143028
379,-85.69179776,38.0775706806
2899,-85.6745203853,38.0640156705
717,-82.7099682711,37.1919054611
3071,-84.4802204226,39.0597907421
2364,-85.9057041675,37.1797443057
1153,-85.671106219,38.0490566177
7468,-84.5933303405,39.0607615633
145,-84.4850545954,38.9962379932
1561,-82.5560238476,37.5137513304
479,-85.6917490358,38.0468372594
4875,-85.6066153211,38.3454876387
738,-85.6136843782,38.3166980643
1157,-85.5285115,38.3157140021
1481,-85.5274644656,38.3104024824
542,-85.6516596087,38.3046412771
849,-85.5421470918,38.3087835575
668,-85.5949737883,38.304440588
1256,-85.6025232052,38.2995697202
144,-85.6251576134,38.3009317186
104,-85.5807552603,38.2983570459
676,-85.6114163156,38.2967190303
281,-85.5857956455,38.2960752843
332,-85.6387131961,38.2952862232
322,-85.5700062632,38.2921666211
194,-85.6338693473,38.2900125231
607,-85.5872085971,38.290590529
366,-85.6137219661,38.2888795526
1053,-85.6359324469,38.2863731967
182,-85.6254537196,38.2886391435
115,-85.5680183321,38.2879833279
760,-85.5713374356,38.2813503515
862,-85.592216164,38.2821661163
509,-85.6134389294,38.2836808907
2425,-85.5372585737,38.2710489929
465,-85.6618773066,38.2829407544
2979,-85.6526878108,38.2794879022
655,-85.5842368924,38.2795875801
229,-85.6290571774,38.2786196346
444,-85.5910336915,38.2779842694
2960,-85.6202997149,38.2743174949
137,-85.5746819797,38.2784039952
2470,-85.6390564363,38.2675749439
11407,-85.586910887,38.2645700921
169,-85.6819561181,38.2706507641
663,-85.6707744374,38.2691773834
320,-85.6614878944,38.2649493705
978,-85.6311567671,38.2620441799
329,-85.6660598128,38.2630722602
332,-85.659724718,38.261265477
7845,-85.5136103031,38.24438796
1367,-85.6298603063,38.2561215212
418,-85.6411874543,38.2550999655
894,-85.5915309058,38.2501530234
383,-85.6106441966,38.2527330445
5696,-85.5521070605,38.2403854109
273,-85.575145115,38.2491976307
164,-85.5612873709,38.247082416
458,-85.6466005221,38.2468849537
4378,-85.5891714484,38.238254964
772,-85.5639948943,38.2436052832
27352,-85.5729840289,38.1957502169
1509,-85.6176901012,38.227126535
717,-85.6772715326,38.2278180166
150,-85.6219757372,38.2240178205
429,-85.6357187358,38.2232183308
1881,-85.5925088206,38.2186931485
179,-85.6173933168,38.2217877184
667,-85.677929352,38.2208768506
398,-85.6721533467,38.2218384956
462,-85.5836293002,38.2163014517
343,-85.6830252549,38.2192307911
504,-85.6142143509,38.2156347934
580,-85.6703328756,38.2169333437
15751,-85.8120106716,38.1990039395
665,-85.7384999248,38.2118551729
1505,-85.7246650007,38.2058876935
1273,-85.6672797721,38.1940975861
1005,-85.6805116786,38.1882808049
943,-85.711464011,38.1798058248
421,-85.6931689366,38.1782338039
805,-85.6250763333,38.1528512812
301,-85.6316569585,38.1437667791
7,-85.7206104933,38.1186979849
556,-85.7460382065,38.0936827537
836,-83.1953372746,36.8642584784
209,-85.9647409033,36.722098811
6087,-84.8523853663,36.8332201084
